Bölge Kodu	Ürün	Ay	Aylýk Gerç
Doðru Karadeniz	Ürün2	31.07.2016	104.200
Doðru Karadeniz	Ürün2	31.08.2016	140.940
Doðru Karadeniz	Ürün2	30.09.2016	178.922
Doðu Anadolu	Ürün2	31.01.2016	69.183
Doðu Anadolu	Ürün2	29.02.2016	69.315
Doðu Anadolu	Ürün2	31.03.2016	91.281
Doðu Anadolu	Ürün2	30.04.2016	95.739
Doðu Anadolu	Ürün2	31.05.2016	74.384
Doðu Anadolu	Ürün2	30.06.2016	81.798
Doðu Anadolu	Ürün2	31.07.2016	71.535
Ege 1	Ürün2	31.01.2016	152.882
Ege 1	Ürün2	29.02.2016	152.686
Ege 1	Ürün2	31.03.2016	170.040
Ege 1	Ürün2	30.04.2016	199.811
Ege 1	Ürün2	31.05.2016	206.889
Ege 1	Ürün2	30.06.2016	218.435
Ege 1	Ürün2	31.07.2016	203.594
Ege 1	Ürün2	31.08.2016	160.333
Ege 1	Ürün2	30.09.2016	154.027
Ege 2	Ürün2	31.01.2016	118.985
Ege 2	Ürün2	29.02.2016	165.804
Ege 2	Ürün2	31.03.2016	179.806
Ege 2	Ürün2	30.04.2016	165.490
Ege 2	Ürün2	31.05.2016	133.593
Ege 2	Ürün2	30.06.2016	142.230
Ege 2	Ürün2	31.07.2016	150.310
Ege 2	Ürün2	31.08.2016	185.913
Ege 2	Ürün2	30.09.2016	154.760
Güney Akdeniz	Ürün2	31.01.2016	182.271
Güney Akdeniz	Ürün2	29.02.2016	243.003
Güney Akdeniz	Ürün2	31.03.2016	329.201
Güney Akdeniz	Ürün2	30.04.2016	286.031
Güney Akdeniz	Ürün2	31.05.2016	302.750
Güney Akdeniz	Ürün2	30.06.2016	275.698
Güney Akdeniz	Ürün2	31.07.2016	274.983
Güney Akdeniz	Ürün2	31.08.2016	139.768
Güney Akdeniz	Ürün2	30.09.2016	209.439
Güneydoðu Anadolu	Ürün2	31.01.2016	240.201
Güneydoðu Anadolu	Ürün2	29.02.2016	208.077
Güneydoðu Anadolu	Ürün2	31.03.2016	201.648
Güneydoðu Anadolu	Ürün2	30.04.2016	284.021
Güneydoðu Anadolu	Ürün2	31.05.2016	236.264
Güneydoðu Anadolu	Ürün2	30.06.2016	264.638
Güneydoðu Anadolu	Ürün2	31.07.2016	190.122
Güneydoðu Anadolu	Ürün2	31.08.2016	184.218
Güneydoðu Anadolu	Ürün2	30.09.2016	202.105
Ýç Anadolu	Ürün2	31.01.2016	147.778
Ýç Anadolu	Ürün2	29.02.2016	129.965
Ýç Anadolu	Ürün2	31.03.2016	129.342
Ýç Anadolu	Ürün2	30.04.2016	162.100
Ýç Anadolu	Ürün2	31.05.2016	170.009
Ýç Anadolu	Ürün2	30.06.2016	152.216
Ýç Anadolu	Ürün2	31.07.2016	141.135
Ýç Anadolu	Ürün2	31.08.2016	141.199
Ýç Anadolu	Ürün2	30.09.2016	163.957
Ýstanbul 1	Ürün2	31.01.2016	449.045
Ýstanbul 1	Ürün2	29.02.2016	403.419
Ýstanbul 1	Ürün2	31.03.2016	447.034
Ýstanbul 1	Ürün2	30.04.2016	487.582
Ýstanbul 1	Ürün2	31.05.2016	491.295
Ýstanbul 1	Ürün2	30.06.2016	385.099
Ýstanbul 1	Ürün2	31.07.2016	322.937
Ýstanbul 1	Ürün2	31.08.2016	405.405
Ýstanbul 1	Ürün2	30.09.2016	416.725
Ýstanbul 2	Ürün2	31.01.2016	118.758
Ýstanbul 2	Ürün2	29.02.2016	130.148
Ýstanbul 2	Ürün2	31.03.2016	138.125
Ýstanbul 2	Ürün2	30.04.2016	168.080
Ýstanbul 2	Ürün2	31.05.2016	129.083
Ýstanbul 2	Ürün2	30.06.2016	160.365
Ýstanbul 2	Ürün2	31.07.2016	151.015
Ýstanbul 2	Ürün2	31.08.2016	197.879
Ýstanbul 2	Ürün2	30.09.2016	197.541
Ýstanbul 3	Ürün2	31.01.2016	56.913
Ýstanbul 3	Ürün2	29.02.2016	64.224
Ýstanbul 3	Ürün2	31.03.2016	103.519
Ýstanbul 3	Ürün2	30.04.2016	91.669
Ýstanbul 3	Ürün2	31.05.2016	84.731
Ýstanbul 3	Ürün2	30.06.2016	99.787
Ýstanbul 3	Ürün2	31.07.2016	79.722
Ýstanbul 3	Ürün2	31.08.2016	93.233
Ýstanbul 3	Ürün2	30.09.2016	111.974
Marmara	Ürün2	31.01.2016	92.776
Marmara	Ürün2	29.02.2016	102.483
Marmara	Ürün2	31.03.2016	109.607
Marmara	Ürün2	30.04.2016	135.425
Marmara	Ürün2	31.05.2016	133.723
Marmara	Ürün2	30.06.2016	115.354
Marmara	Ürün2	31.07.2016	104.674
Marmara	Ürün2	31.08.2016	106.182
Marmara	Ürün2	30.09.2016	134.377
Baþkent 1	Ürün3	31.01.2016	7.011.464
Baþkent 1	Ürün3	29.02.2016	7.744.092
Baþkent 1	Ürün3	31.03.2016	6.301.181
Baþkent 1	Ürün3	30.04.2016	7.028.814
Baþkent 1	Ürün3	31.05.2016	7.765.199
Baþkent 1	Ürün3	30.06.2016	7.823.269
Baþkent 1	Ürün3	31.07.2016	7.885.296
Baþkent 1	Ürün3	31.08.2016	8.865.183
Baþkent 1	Ürün3	30.09.2016	6.952.809
Baþkent 2	Ürün3	30.04.2016	9.044.659
Baþkent 2	Ürün3	31.05.2016	9.604.237
Baþkent 2	Ürün3	30.06.2016	8.456.667
Baþkent 2	Ürün3	31.07.2016	9.200.071
Baþkent 2	Ürün3	31.08.2016	10.429.864
Baþkent 2	Ürün3	30.09.2016	10.615.516
Batý Karadeniz	Ürün3	31.01.2016	1.060.971
Batý Karadeniz	Ürün3	29.02.2016	1.125.350
Batý Karadeniz	Ürün3	31.03.2016	1.172.955
Batý Karadeniz	Ürün3	30.04.2016	1.508.304
Batý Karadeniz	Ürün3	31.05.2016	1.133.112
Batý Karadeniz	Ürün3	30.06.2016	1.496.591
Batý Karadeniz	Ürün3	31.07.2016	1.504.665
Batý Karadeniz	Ürün3	31.08.2016	2.056.911
Batý Karadeniz	Ürün3	30.09.2016	2.185.575
Doðru Karadeniz	Ürün3	31.01.2016	2.002.859
Doðru Karadeniz	Ürün3	29.02.2016	2.101.992
Doðru Karadeniz	Ürün3	31.03.2016	2.285.496
Doðru Karadeniz	Ürün3	30.04.2016	2.001.415
Doðru Karadeniz	Ürün3	31.05.2016	2.020.960
Doðru Karadeniz	Ürün3	30.06.2016	1.888.866
Doðru Karadeniz	Ürün3	31.07.2016	2.626.284
Doðru Karadeniz	Ürün3	31.08.2016	4.046.063
Doðru Karadeniz	Ürün3	30.09.2016	3.493.595
Doðu Anadolu	Ürün3	31.01.2016	1.706.347
Doðu Anadolu	Ürün3	29.02.2016	2.092.842
Doðu Anadolu	Ürün3	31.03.2016	1.750.533
Doðu Anadolu	Ürün3	30.04.2016	1.498.930
Doðu Anadolu	Ürün3	31.05.2016	1.606.760
Doðu Anadolu	Ürün3	30.06.2016	1.782.046
Doðu Anadolu	Ürün3	31.07.2016	1.560.403
Ege 1	Ürün3	31.01.2016	2.495.653
Ege 1	Ürün3	29.02.2016	3.447.787
Ege 1	Ürün3	31.03.2016	2.754.907
Ege 1	Ürün3	30.04.2016	2.501.916
Ege 1	Ürün3	31.05.2016	2.557.809
Ege 1	Ürün3	30.06.2016	2.868.275
Ege 1	Ürün3	31.07.2016	2.678.782
Ege 1	Ürün3	31.08.2016	2.897.238
Ege 1	Ürün3	30.09.2016	3.056.486
Ege 2	Ürün3	31.01.2016	5.285.844
Ege 2	Ürün3	29.02.2016	5.946.746
Ege 2	Ürün3	31.03.2016	5.179.804
Ege 2	Ürün3	30.04.2016	6.277.862
Ege 2	Ürün3	31.05.2016	4.348.506
Ege 2	Ürün3	30.06.2016	5.311.003
Ege 2	Ürün3	31.07.2016	6.422.594
Ege 2	Ürün3	31.08.2016	4.911.270
Ege 2	Ürün3	30.09.2016	5.623.811
Güney Akdeniz	Ürün3	31.01.2016	3.056.978
Güney Akdeniz	Ürün3	29.02.2016	4.058.884
Güney Akdeniz	Ürün3	31.03.2016	3.036.812
Güney Akdeniz	Ürün3	30.04.2016	4.099.297
Güney Akdeniz	Ürün3	31.05.2016	3.003.687
Güney Akdeniz	Ürün3	30.06.2016	3.346.342
Güney Akdeniz	Ürün3	31.07.2016	4.205.388
Güney Akdeniz	Ürün3	31.08.2016	3.299.794
Güney Akdeniz	Ürün3	30.09.2016	3.796.504
Güneydoðu Anadolu	Ürün3	31.01.2016	5.168.687
Güneydoðu Anadolu	Ürün3	29.02.2016	5.630.471
Güneydoðu Anadolu	Ürün3	31.03.2016	5.563.092
Güneydoðu Anadolu	Ürün3	30.04.2016	4.279.912
Güneydoðu Anadolu	Ürün3	31.05.2016	4.472.996
Güneydoðu Anadolu	Ürün3	30.06.2016	5.464.920
Güneydoðu Anadolu	Ürün3	31.07.2016	6.305.379
Güneydoðu Anadolu	Ürün3	31.08.2016	5.199.935
Güneydoðu Anadolu	Ürün3	30.09.2016	6.197.960
Ýç Anadolu	Ürün3	31.01.2016	5.036.305
Ýç Anadolu	Ürün3	29.02.2016	5.115.566
Ýç Anadolu	Ürün3	31.03.2016	5.040.570
Ýç Anadolu	Ürün3	30.04.2016	5.942.551
Ýç Anadolu	Ürün3	31.05.2016	5.379.398
Ýç Anadolu	Ürün3	30.06.2016	5.028.152
Ýç Anadolu	Ürün3	31.07.2016	6.907.390
Ýç Anadolu	Ürün3	31.08.2016	5.818.579
Ýç Anadolu	Ürün3	30.09.2016	6.557.205
Ýstanbul 1	Ürün3	31.01.2016	5.514.506
Ýstanbul 1	Ürün3	29.02.2016	6.689.306
Ýstanbul 1	Ürün3	31.03.2016	6.435.561
Ýstanbul 1	Ürün3	30.04.2016	4.909.151
Ýstanbul 1	Ürün3	31.05.2016	4.554.103
Ýstanbul 1	Ürün3	30.06.2016	5.805.787
Ýstanbul 1	Ürün3	31.07.2016	4.646.922
Ýstanbul 1	Ürün3	31.08.2016	4.881.316
Ýstanbul 1	Ürün3	30.09.2016	4.473.899
Ýstanbul 2	Ürün3	31.01.2016	4.486.055
Ýstanbul 2	Ürün3	29.02.2016	3.718.248
Ýstanbul 2	Ürün3	31.03.2016	3.190.090
Ýstanbul 2	Ürün3	30.04.2016	3.253.625
Ýstanbul 2	Ürün3	31.05.2016	3.255.881
Ýstanbul 2	Ürün3	30.06.2016	4.101.457
Ýstanbul 2	Ürün3	31.07.2016	4.050.079
Ýstanbul 2	Ürün3	31.08.2016	4.064.366
Ýstanbul 2	Ürün3	30.09.2016	3.911.483
Ýstanbul 3	Ürün3	31.01.2016	2.505.330
Ýstanbul 3	Ürün3	29.02.2016	1.928.596
Ýstanbul 3	Ürün3	31.03.2016	1.964.744
Ýstanbul 3	Ürün3	30.04.2016	2.406.755
Ýstanbul 3	Ürün3	31.05.2016	2.067.468
Ýstanbul 3	Ürün3	30.06.2016	2.000.191
Ýstanbul 3	Ürün3	31.07.2016	1.996.953
Ýstanbul 3	Ürün3	31.08.2016	3.292.926
Ýstanbul 3	Ürün3	30.09.2016	2.331.123
Marmara	Ürün3	31.01.2016	2.868.407
Marmara	Ürün3	29.02.2016	3.881.724
Marmara	Ürün3	31.03.2016	3.333.767
Marmara	Ürün3	30.04.2016	3.331.479
Marmara	Ürün3	31.05.2016	3.154.915
Marmara	Ürün3	30.06.2016	2.916.638
Marmara	Ürün3	31.07.2016	2.822.256
Marmara	Ürün3	31.08.2016	4.174.536
Marmara	Ürün3	30.09.2016	3.156.643
Baþkent 1	Ürün4	31.01.2016	1.238.414
Baþkent 1	Ürün4	29.02.2016	1.274.806
Baþkent 1	Ürün4	31.03.2016	1.329.833
Baþkent 1	Ürün4	30.04.2016	1.082.852
Baþkent 1	Ürün4	31.05.2016	1.076.429
Baþkent 1	Ürün4	30.06.2016	1.055.496
Baþkent 1	Ürün4	31.07.2016	1.101.395
Baþkent 1	Ürün4	31.08.2016	1.348.652
Baþkent 1	Ürün4	30.09.2016	1.170.605
Baþkent 2	Ürün4	30.04.2016	3.524.681
Baþkent 2	Ürün4	31.05.2016	3.115.296
Baþkent 2	Ürün4	30.06.2016	3.373.433
Baþkent 2	Ürün4	31.07.2016	3.371.383
Baþkent 2	Ürün4	31.08.2016	3.126.449
Baþkent 2	Ürün4	30.09.2016	2.547.003
Batý Karadeniz	Ürün4	31.01.2016	118.350
Batý Karadeniz	Ürün4	29.02.2016	178.393
Batý Karadeniz	Ürün4	31.03.2016	125.959
Batý Karadeniz	Ürün4	30.04.2016	165.114
Batý Karadeniz	Ürün4	31.05.2016	141.584
Batý Karadeniz	Ürün4	30.06.2016	124.825
Batý Karadeniz	Ürün4	31.07.2016	152.469
Batý Karadeniz	Ürün4	31.08.2016	175.951
Batý Karadeniz	Ürün4	30.09.2016	170.271
Doðru Karadeniz	Ürün4	31.01.2016	465.110
Doðru Karadeniz	Ürün4	29.02.2016	479.952
Doðru Karadeniz	Ürün4	31.03.2016	506.794
Doðru Karadeniz	Ürün4	30.04.2016	634.397
Doðru Karadeniz	Ürün4	31.05.2016	516.538
Doðru Karadeniz	Ürün4	30.06.2016	519.697
Doðru Karadeniz	Ürün4	31.07.2016	564.300
Doðru Karadeniz	Ürün4	31.08.2016	510.932
Doðru Karadeniz	Ürün4	30.09.2016	603.145
Doðu Anadolu	Ürün4	31.01.2016	420.678
Doðu Anadolu	Ürün4	29.02.2016	405.966
Doðu Anadolu	Ürün4	31.03.2016	458.995
Doðu Anadolu	Ürün4	30.04.2016	391.634
Doðu Anadolu	Ürün4	31.05.2016	372.688
Doðu Anadolu	Ürün4	30.06.2016	526.726
Doðu Anadolu	Ürün4	31.07.2016	452.593
Ege 1	Ürün4	31.01.2016	531.352
Ege 1	Ürün4	29.02.2016	579.702
Ege 1	Ürün4	31.03.2016	464.458
Ege 1	Ürün4	30.04.2016	465.977
Ege 1	Ürün4	31.05.2016	439.211
Ege 1	Ürün4	30.06.2016	478.540
Ege 1	Ürün4	31.07.2016	635.624
Ege 1	Ürün4	31.08.2016	486.513
Ege 1	Ürün4	30.09.2016	452.347
Ege 2	Ürün4	31.01.2016	975.449
Ege 2	Ürün4	29.02.2016	980.350
Ege 2	Ürün4	31.03.2016	711.478
Ege 2	Ürün4	30.04.2016	826.904
Ege 2	Ürün4	31.05.2016	1.040.271
Ege 2	Ürün4	30.06.2016	1.032.343
Ege 2	Ürün4	31.07.2016	745.501
Ege 2	Ürün4	31.08.2016	762.744
Ege 2	Ürün4	30.09.2016	843.149
Güney Akdeniz	Ürün4	31.01.2016	467.283
Güney Akdeniz	Ürün4	29.02.2016	521.610
Güney Akdeniz	Ürün4	31.03.2016	587.994
Güney Akdeniz	Ürün4	30.04.2016	633.217
Güney Akdeniz	Ürün4	31.05.2016	527.213
Güney Akdeniz	Ürün4	30.06.2016	501.710
Güney Akdeniz	Ürün4	31.07.2016	670.516
Güney Akdeniz	Ürün4	31.08.2016	607.900
Güney Akdeniz	Ürün4	30.09.2016	623.283
Güneydoðu Anadolu	Ürün4	31.01.2016	591.188
Güneydoðu Anadolu	Ürün4	29.02.2016	600.172
Güneydoðu Anadolu	Ürün4	31.03.2016	653.029
Güneydoðu Anadolu	Ürün4	30.04.2016	793.307
Güneydoðu Anadolu	Ürün4	31.05.2016	800.415
Güneydoðu Anadolu	Ürün4	30.06.2016	603.486
Güneydoðu Anadolu	Ürün4	31.07.2016	682.227
Güneydoðu Anadolu	Ürün4	31.08.2016	585.478
Güneydoðu Anadolu	Ürün4	30.09.2016	797.148
Ýç Anadolu	Ürün4	31.01.2016	742.660
Ýç Anadolu	Ürün4	29.02.2016	631.786
Ýç Anadolu	Ürün4	31.03.2016	629.520
Ýç Anadolu	Ürün4	30.04.2016	594.913
Ýç Anadolu	Ürün4	31.05.2016	699.917
Ýç Anadolu	Ürün4	30.06.2016	719.333
Ýç Anadolu	Ürün4	31.07.2016	830.870
Ýç Anadolu	Ürün4	31.08.2016	530.226
Ýç Anadolu	Ürün4	30.09.2016	639.149
Ýstanbul 1	Ürün4	31.01.2016	1.805.997
Ýstanbul 1	Ürün4	29.02.2016	1.798.432
Ýstanbul 1	Ürün4	31.03.2016	1.459.930
Ýstanbul 1	Ürün4	30.04.2016	1.358.542
Ýstanbul 1	Ürün4	31.05.2016	1.400.426
Ýstanbul 1	Ürün4	30.06.2016	1.224.803
Ýstanbul 1	Ürün4	31.07.2016	1.125.494
Ýstanbul 1	Ürün4	31.08.2016	1.053.683
Ýstanbul 1	Ürün4	30.09.2016	1.453.243
Ýstanbul 2	Ürün4	31.01.2016	529.288
Ýstanbul 2	Ürün4	29.02.2016	439.908
Ýstanbul 2	Ürün4	31.03.2016	458.461
Ýstanbul 2	Ürün4	30.04.2016	409.226
Ýstanbul 2	Ürün4	31.05.2016	548.110
Ýstanbul 2	Ürün4	30.06.2016	452.525
Ýstanbul 2	Ürün4	31.07.2016	375.671
Ýstanbul 2	Ürün4	31.08.2016	499.287
Ýstanbul 2	Ürün4	30.09.2016	571.703
Ýstanbul 3	Ürün4	31.01.2016	409.225
Ýstanbul 3	Ürün4	29.02.2016	338.484
Ýstanbul 3	Ürün4	31.03.2016	337.311
Ýstanbul 3	Ürün4	30.04.2016	381.443
Ýstanbul 3	Ürün4	31.05.2016	486.624
Ýstanbul 3	Ürün4	30.06.2016	401.168
Ýstanbul 3	Ürün4	31.07.2016	331.780
Ýstanbul 3	Ürün4	31.08.2016	429.883
Ýstanbul 3	Ürün4	30.09.2016	460.029
Marmara	Ürün4	31.01.2016	422.510
Marmara	Ürün4	29.02.2016	563.835
Marmara	Ürün4	31.03.2016	398.073
Marmara	Ürün4	30.04.2016	419.596
Marmara	Ürün4	31.05.2016	501.820
Marmara	Ürün4	30.06.2016	569.487
Marmara	Ürün4	31.07.2016	482.876
Marmara	Ürün4	31.08.2016	557.458
Marmara	Ürün4	30.09.2016	478.807
